name,duration_ms,explicit,popularity,artists,album_name,key,loudness,mode,speechiness,instrumentalness,liveness,tempo,time_signature,n_beats,genre
I Want You - Edit,207360,False,54,Boris Brejcha;Ginger,I Want You,8,-11.597,1.0,0.0632,0.874,0.0985,125.015,4.0,426.0,techno
Voice of Shadows,140471,False,20,Satyricon,Live at the Opera,7,-9.868,1.0,0.0359,0.967,0.108,107.727,4.0,250.0,black-metal
For So Long,313929,False,10,Mr. Fingers,Amnesia,1,-14.662,1.0,0.0527,0.925,0.0822,119.54,4.0,622.0,chicago-house
Hunger For Your Vibe - Moonwalk Remix,392624,False,0,Arm In Arm;Moonwalk,Hunger for Your Vibe,1,-9.775,1.0,0.0465,0.895,0.0912,122.997,4.0,805.0,techno
Pee Loon X Let Her Go,251977,False,1,Pranish VP,Pee Loon X Let Her Go,5,-8.332,1.0,0.0338,4.58e-06,0.119,75.04,4.0,309.0,indian
We Shall Overcome - Richie's Loonie Mix,342217,False,9,Kenny Larkin;Richie Hawtin,We Shall Overcome,6,-7.429,1.0,0.0472,0.000711,0.104,124.281,4.0,708.0,chicago-house
Cold Kickin' Ass,210774,True,11,Paul Elstak,Hardcore Top 100 - Best Of 2021,8,-0.882,1.0,0.0804,1.13e-05,0.501,95.018,4.0,330.0,happy
La voix d'Antonio,134786,False,28,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),7,-11.358,1.0,0.0613,0.601,0.106,108.063,4.0,234.0,disney
情人,218760,False,42,Alex To,滾石香港黃金十年-杜德偉精選,2,-8.889,1.0,0.0276,6.97e-06,0.128,87.867,4.0,312.0,mandopop
Ikeja Roads,160948,False,35,Tony Allen,"Comet Series, Vol. 1 (Crazy Afrobeat)",2,-13.803,0.0,0.0412,0.89,0.106,100.007,4.0,265.0,afrobeat
The Riddle of the Record,138260,False,36,Dusty Decks,Soul Single Serenade,1,-9.428,1.0,0.0829,0.828,0.115,92.027,4.0,209.0,study
Já Sei,208512,False,46,Zimbra,Já Sei,9,-6.139,1.0,0.0312,6.24e-06,0.118,178.935,3.0,600.0,brazil
Ahí Estás Tú,330120,False,2,Chambao,Éxitos del Pop en Español de los Años 2000,4,-3.766,1.0,0.0529,0.0645,0.0745,175.811,4.0,957.0,spanish
Choruk,326000,False,0,Rojin Sharafi,Zangaar,10,-8.923,0.0,0.0763,0.0254,0.267,63.945,4.0,345.0,iranian
Late Night,228590,False,60,ODESZA,A Moment Apart,2,-6.754,1.0,0.0752,0.00898,0.193,125.043,4.0,474.0,sleep
Thanks a Lot,183253,False,12,Watkins Family Hour;Jon Brion,Vol. II,2,-8.015,1.0,0.0299,0.000227,0.0988,98.444,4.0,293.0,bluegrass
Step Above The Surface,321018,False,8,Infinite Scale,Ad Infinitum,6,-14.19,1.0,0.0414,0.86,0.112,152.134,4.0,786.0,idm
醜人多作怪 (《新斗羅大陸》手遊半週年主題曲),257471,False,51,告五人,運氣來得若有似無,6,-4.677,0.0,0.0393,0.0,0.159,90.026,4.0,380.0,mandopop
Stampede,337026,False,9,Seekae,The Sound Of Trees Falling On People,4,-7.091,0.0,0.0444,0.695,0.379,105.022,4.0,614.0,idm
Mesa de Bar,177200,False,48,Conde do Forró,Maltratando os Corações,9,-10.542,0.0,0.038,0.0,0.133,135.003,4.0,394.0,forro
Different Way - Murdock's Every Man Do His Jungle Mix,243620,False,21,Murdock;Errol Dunkley,Stronger,4,-2.452,0.0,0.0738,0.000103,0.362,171.99,4.0,684.0,industrial
当たり障りのない話,270013,False,26,Nogizaka46,インフルエンサー(Special Edition),9,-3.32,1.0,0.0745,0.0,0.167,75.073,4.0,330.0,j-idol
Mystery - Tale Of Us & Mathame Remix,424431,False,53,Adriatique;Mathame;Tale Of Us,Nude Remixes,5,-9.778,0.0,0.0525,0.682,0.0654,124.005,4.0,868.0,techno
Profile,144131,False,8,Alkaline;Black Shadow,Profile,10,-3.689,1.0,0.0511,2.63e-05,0.257,104.089,4.0,242.0,j-dance
"Sorry, Jorge",126521,False,25,Jobii,Flakes,2,-7.642,1.0,0.0487,0.862,0.112,91.992,3.0,191.0,study
Good to Me,181724,False,50,Friction,Good to Me,1,-2.645,1.0,0.0484,0.06,0.0989,173.999,4.0,513.0,industrial
Daevayasna,426500,False,0,From The Vastland,Daevayasna,11,-2.827,1.0,0.0927,0.638,0.122,120.191,4.0,848.0,iranian
Slipping Mats,149866,False,36,Dusty Decks,Slipping Mats,11,-7.486,1.0,0.0463,0.881,0.133,91.999,4.0,227.0,study
Carry You,371733,False,23,VNV Nation,Judgement,7,-7.699,0.0,0.0452,0.0589,0.215,132.012,4.0,804.0,industrial
Open Mind - Exclusive Remix,387973,False,14,Orbital,The Best Of Funky Alternatives,0,-12.18,1.0,0.0401,0.804,0.0994,123.002,4.0,790.0,breakbeat
Under the Double Eagle,106866,False,20,Donna Stoneman,100 Greatest Bluegrass Hits,0,-9.591,1.0,0.0367,0.941,0.202,175.044,4.0,302.0,bluegrass
Jeito De Amar (Ao Vivo),182741,False,43,Aviões do Forró,CD Do DVD Itapebussu (Ao Vivo),1,-7.861,1.0,0.0424,0.0,0.05,97.717,4.0,297.0,forro
Melhor Amigo,335481,False,44,Delino Marçal;Bruna Karla,Melhor Amigo,4,-6.77,1.0,0.0299,0.0,0.203,105.724,4.0,590.0,brazil
The Impossible Dream,249613,False,1,Feindflug;Sara Noxx,Black Snow Vol. 2 - The Completely Different Xmas Compilation,10,-10.676,1.0,0.03,0.935,0.0886,109.499,3.0,454.0,industrial
らしくない,247506,False,34,NMB48,難波愛~今、思うこと~ (Type-N),1,-2.457,1.0,0.057,0.0,0.323,152.04,4.0,609.0,j-idol
Look to Jesus,282106,False,35,Phil Wickham,Hymn of Heaven,9,-6.284,1.0,0.0389,0.0,0.0781,91.973,4.0,427.0,brazil
