name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,genre
I Need You (The Edit),167485,False,20,DJ Icey,Catalysts of the Catalog,0.777,0.652,11,-6.887,0.0,0.075,0.00241,0.000281,0.118,0.279,128.015,4.0,353.0,breakbeat
Foi Deus Quem Fez Você,232973,False,49,Amelinha,Porta Secreta,0.421,0.653,9,-6.98,1.0,0.0487,0.318,0.0,0.377,0.409,133.596,4.0,507.0,forro
Superhéroe,241449,False,30,Brock Ansiolitiko,Ver-S.O.S,0.558,0.729,2,-6.61,1.0,0.0481,0.241,0.00303,0.107,0.653,83.475,4.0,332.0,spanish
About My Dreams,320000,False,48,Stephan Jolk,About My Dreams,0.594,0.826,4,-7.117,1.0,0.043,0.000161,0.872,0.0932,0.0632,126.007,4.0,665.0,techno
This Is The New Shit,259666,True,63,Marilyn Manson,The Golden Age Of Grotesque,0.566,0.869,2,-6.084,1.0,0.1,0.000916,0.00346,0.114,0.647,178.113,4.0,768.0,industrial
MAH,336000,False,42,The Chemical Brothers,No Geography,0.688,0.927,0,-6.083,1.0,0.0617,0.0296,0.238,0.346,0.212,129.947,4.0,718.0,breakbeat
Big Sandy River,149226,False,23,Kenny Baker,Plays Bill Monroe,0.562,0.668,9,-13.485,1.0,0.036,0.531,0.487,0.136,0.923,135.505,4.0,324.0,bluegrass
Sou Eu (Versão Grave),149304,False,23,Os Barões Da Pisadinha,Paredão Explode,0.766,0.816,2,-8.017,1.0,0.0445,0.0519,1.12e-05,0.0676,0.587,172.022,4.0,420.0,forro
Moça Bonita,189160,False,45,Rastapé,Tudo E Forro,0.692,0.585,2,-6.976,1.0,0.0384,0.265,3.55e-06,0.175,0.558,144.074,4.0,436.0,forro
Preparados,218240,False,23,Rogério Samora;Jim Cummings;Cucha Cavalheiro;Adriano Luz,The Lion King: Special Edition Original Soundtrack,0.606,0.542,9,-11.154,0.0,0.0892,0.125,1.54e-05,0.154,0.342,121.794,4.0,431.0,disney
Mask of Skeleton,90000,False,8,arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,0.451,0.505,7,-10.349,1.0,0.059,0.489,0.96,0.102,0.057,80.521,4.0,115.0,idm
scuba dive bar,156000,False,16,sound butler,lofi lunchbox,0.655,0.586,0,-11.977,1.0,0.129,0.28,0.885,0.0943,0.536,180.083,4.0,457.0,study
"Ich, Nemo",279240,False,25,U96;Claude Oliver Rudolph,20.000 Meilen unter dem Meer,0.498,0.825,5,-8.072,1.0,0.0534,0.0225,0.0238,0.187,0.141,129.999,4.0,597.0,techno
Playsom - Mahal Pita Remix,155853,False,22,BaianaSystem;Mahal Pita,Outras Cidades,0.696,0.686,7,-8.207,1.0,0.0653,0.00899,0.000956,0.116,0.477,128.102,4.0,323.0,afrobeat
Detail Queen,128399,False,19,Gaze,Shake the Pounce,0.515,0.721,0,-7.889,1.0,0.0297,0.583,0.881,0.0569,0.851,113.176,4.0,225.0,techno
Closure,191656,False,10,Kyson,Lucky Notes,0.473,0.255,10,-15.397,1.0,0.0416,0.859,0.867,0.0948,0.0362,150.908,4.0,474.0,idm
Bhavani's Limitless Love for Dad - Instrumental,67452,False,35,Arrol Corelli,Pisasu (Original Motion Picture Soundtrack),0.324,0.119,7,-15.777,0.0,0.0413,0.99,0.902,0.0841,0.199,70.085,4.0,71.0,indian
Trece (Versión Jazz),339780,False,31,Rafael Lechowski,Donde Duele Inspira (Versión Jazz),0.438,0.434,0,-8.39,1.0,0.0511,0.182,0.000769,0.246,0.395,182.192,3.0,1021.0,spanish
Bruderschaft,246680,False,0,Heimataerde,Kaltwaerts (Deluxe Edition),0.498,0.957,5,-6.732,0.0,0.0461,0.00215,0.0311,0.189,0.577,139.949,4.0,558.0,industrial
Fly Without Wings...,66000,False,1,Confess,Beginning of Dominion,0.421,0.419,1,-10.049,0.0,0.0368,0.622,0.968,0.192,0.0637,97.986,4.0,104.0,iranian
ラブサマ!!!,279373,False,26,SUPER☆GiRLS,超絶少女☆BEST #夏スパガ,0.515,0.932,5,-3.813,1.0,0.12,0.0045,0.0,0.255,0.595,160.025,4.0,729.0,j-idol
A Bug's Life Suite - From A Bug’s Land,264760,False,26,Randy Newman,Walt Disney Records The Legacy Collection: Disneyland,0.282,0.307,0,-9.667,1.0,0.031,0.859,0.809,0.336,0.115,110.827,4.0,479.0,disney
光陰獨白 (電視劇《你是我的榮耀》片尾曲),204973,False,44,LaLa Hsu,光陰獨白 (電視劇《你是我的榮耀》片尾曲),0.243,0.258,9,-9.887,1.0,0.0345,0.916,8e-06,0.128,0.191,59.153,4.0,217.0,mandopop
"Tujhe Sochta Hoon (From ""Jannat 2"")",313933,False,4,Pritam;KK,Musical Bond: Pritam & KK,0.579,0.712,0,-6.119,0.0,0.0308,0.259,0.000253,0.18,0.486,80.998,4.0,421.0,indian
寂寞寂寞就好,275120,False,50,Hebe Tien,To Hebe,0.465,0.496,4,-7.864,1.0,0.0273,0.407,0.0,0.109,0.167,151.89,4.0,681.0,mandopop
Mezzanotte,165230,False,61,Ana Mena,Mezzanotte,0.757,0.737,6,-3.175,1.0,0.0511,0.058,0.0,0.173,0.705,129.941,4.0,354.0,spanish
When The Dust Clears (feat. LOA.) - MD MixX,222600,False,5,Mike Dunn;LOA.,Defected Presents Most Rated Ibiza 2022,0.818,0.733,0,-6.585,1.0,0.116,0.000559,4.77e-06,0.331,0.742,124.054,4.0,452.0,chicago-house
Mystery Train,201040,False,21,The Grascals,Life Finds A Way,0.656,0.738,9,-10.393,1.0,0.0342,0.719,0.00815,0.0799,0.598,120.966,4.0,393.0,bluegrass
Compound Eyes,314714,False,6,Datassette,Sentinel,0.403,0.788,1,-11.464,1.0,0.0642,0.359,0.835,0.129,0.131,104.407,4.0,583.0,idm
Benediction,181507,False,41,for KING & COUNTRY,What Are We Waiting For?,0.283,0.0678,2,-13.795,1.0,0.033,0.704,0.00125,0.11,0.179,86.938,4.0,315.0,forro
ときめきHighレンジ!!!,229853,False,19,SUPER☆GiRLS,超絶★学園 〜ときめきHighレンジ!!!〜,0.53,0.943,6,-3.121,1.0,0.0553,0.0092,0.0,0.0965,0.846,165.037,4.0,619.0,j-idol
Time of Your Life,209735,False,12,Jah Vinci,Love Book Riddim,0.4,0.574,6,-10.366,0.0,0.127,0.00112,0.0,0.166,0.737,168.333,4.0,582.0,j-dance
Where Space Passes By,386595,False,0,Rojin Sharafi,Kariz,0.464,0.485,0,-15.065,0.0,0.0539,0.369,0.679,0.144,0.0394,106.595,4.0,667.0,iranian
Hardsax - Original Mix,232839,False,1,The Prophet,The Hardcore Archive Part 3 (1997),0.7,0.951,7,-4.972,1.0,0.0759,0.0197,0.916,0.0915,0.284,149.993,4.0,580.0,happy
Falling Away from Me,270920,True,75,Korn,Issues,0.468,0.769,4,-7.036,1.0,0.041,0.00014,0.00124,0.271,0.17,104.102,4.0,469.0,black-metal
Desde mi cielo,380680,False,33,Mägo de Oz,Gaia II,0.585,0.56,2,-7.083,1.0,0.0382,0.562,3.07e-05,0.0992,0.292,109.936,4.0,681.0,spanish
Eternal Wings,252000,False,17,Mokhov,Halcyon Days,0.69,0.74,7,-7.452,1.0,0.0316,0.0375,0.614,0.163,0.537,99.97,4.0,415.0,idm
Ride To The Rhytmn,222249,False,18,Cixx,Happy Hardcore Top 100,0.592,0.972,2,-8.609,1.0,0.0647,0.0964,0.798,0.294,0.728,172.887,4.0,640.0,happy
Enna Solla - Rendition,173647,False,42,Sanah Moidutty,Enna Solla (Rendition),0.507,0.442,4,-9.29,1.0,0.136,0.73,0.00583,0.251,0.515,113.385,4.0,350.0,indian
Old Man,191360,False,47,The Wailin' Jennys,40 Days,0.699,0.138,10,-13.479,1.0,0.0318,0.864,8.79e-06,0.116,0.287,80.505,4.0,252.0,bluegrass
Joven para morir,202600,False,35,Ángeles Del Infierno,Joven Para Morir,0.614,0.694,2,-12.705,1.0,0.0665,0.00258,0.0,0.0671,0.603,76.838,4.0,255.0,spanish
Mind Corruption,231333,False,23,Hypocrisy,The Fourth Dimension / Maximum Abduction,0.416,0.846,6,-8.412,1.0,0.0377,5.56e-05,0.00527,0.0905,0.333,101.183,4.0,384.0,black-metal
Spartan Soldier,271647,True,43,Tommy Lee Sparta,Spartan Soldier,0.682,0.738,6,-6.954,1.0,0.116,0.666,0.0,0.0741,0.63,94.993,4.0,424.0,j-dance
Horse And Trap,355013,False,9,Team Doyobi,Cryptoburners,0.782,0.315,8,-16.688,1.0,0.0706,0.000897,0.777,0.0494,0.424,124.804,4.0,738.0,idm
Arambath - From “Second Show”,262360,False,43,Avial,Matinee & Second Show (Original Motion Picture Soundtrack),0.617,0.943,11,-6.234,1.0,0.0338,0.0246,0.2,0.0842,0.474,130.029,4.0,562.0,indian
Mere Nishaan,300719,False,53,Kailash Kher;Meet Bros Anjjan,Oh My God,0.586,0.524,1,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,485.0,indian
Angel Flesh Impaled,353880,False,19,Dark Funeral,Attera Totus Sanctus,0.361,0.974,6,-5.733,1.0,0.122,1.04e-06,0.928,0.0971,0.0524,140.055,4.0,818.0,black-metal
Jumping Stairs,114400,False,29,Casper Loe,Jumping Stairs,0.682,0.254,2,-11.478,0.0,0.0499,0.232,0.885,0.118,0.297,150.038,4.0,284.0,study
Wâldpyk,176111,False,23,De Doelleazen;Sjoerd Ensa & Emiel,Gek Yne Kop,0.722,0.922,9,-7.239,1.0,0.136,0.0137,1.24e-05,0.328,0.863,162.998,4.0,467.0,happy
"Not Here, Not Tonight",289000,False,0,Near The Parenthesis,Music for the Forest Concourse,0.487,0.43,0,-14.239,1.0,0.0336,0.759,0.853,0.0934,0.216,94.967,3.0,454.0,idm
Unstoppable,207856,False,2,Saeed Dehghan;Beatbynajwa,Vintage Effort,0.541,0.929,2,-4.298,1.0,0.0683,0.0189,0.677,0.241,0.154,160.051,3.0,552.0,iranian
Sigmund Freud's Impersonation of Albert Einstein in America,173440,False,20,Randy Newman,Little Criminals,0.411,0.2,5,-16.037,1.0,0.0262,0.3,0.00926,0.0887,0.184,79.011,4.0,220.0,disney
I Seek the Truth - Outtake,241534,False,48,Kristen Anderson-Lopez;Patti Murin,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),0.454,0.305,0,-8.904,0.0,0.0336,0.88,0.0,0.149,0.249,72.097,4.0,289.0,disney
Déjame,160000,False,63,Los Secretos,Los Secretos,0.461,0.801,7,-11.133,1.0,0.0298,0.00115,3.63e-05,0.274,0.963,99.677,4.0,252.0,spanish
膽小鬼,258106,False,56,Gigi Leung,順時針 (新歌+精選),0.676,0.446,7,-8.327,1.0,0.0285,0.657,0.0,0.112,0.427,115.017,4.0,482.0,mandopop
Who's Laughing Now,180348,False,0,Ava Max,Good Enough - Easy Pop,0.648,0.641,7,-5.521,1.0,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,4.0,543.0,breakbeat
On Your Own (feat. Cathy Burton),350066,False,11,A.Skillz;Krafty Kuts;Cathy Burton,Tricka Technology,0.641,0.607,8,-7.785,1.0,0.0593,0.307,0.761,0.0991,0.356,170.018,4.0,976.0,breakbeat
The Hunted - Blazer Remix,322246,False,16,Future Funk Squad,Darker Nights,0.775,0.915,8,-6.856,1.0,0.0558,0.000812,0.866,0.0418,0.0372,131.988,4.0,704.0,breakbeat
Only a Dream,342946,False,13,Roni Size,V Classic,0.687,0.953,11,-2.872,0.0,0.0678,0.0165,0.801,0.106,0.859,161.783,4.0,912.0,breakbeat
Decision,287602,False,11,Fingers Inc.,Another Side,0.846,0.881,1,-5.56,1.0,0.068,0.129,0.0,0.0663,0.961,121.747,4.0,581.0,chicago-house
Oh my sun,220293,True,26,Art Of Fighters,Still fighting - 15 years of Art of Fighters Hardcore,0.329,0.945,9,-5.088,1.0,0.0891,0.0628,0.0293,0.322,0.0384,94.958,4.0,334.0,happy
202x,386855,False,17,Ilija Djokovic,Vera,0.652,0.93,8,-5.201,1.0,0.0563,2.5e-05,0.896,0.125,0.199,130.002,4.0,835.0,techno
Haaye Rabba,190975,False,49,Papon,Haaye Rabba,0.621,0.491,5,-9.077,1.0,0.0294,0.849,1.08e-05,0.0774,0.674,109.981,4.0,337.0,indian
男人淚,256320,False,23,阿吉仔,太平輪,0.501,0.616,4,-4.981,0.0,0.0287,0.396,0.0,0.139,0.525,74.932,4.0,310.0,mandopop
バリ3共和国,279291,False,22,Dempagumi.Inc,WWDBEST ~電波良好!~,0.525,0.963,7,-3.63,1.0,0.0587,0.00141,0.00958,0.0758,0.465,183.049,4.0,839.0,j-idol
Sajde,305583,False,64,Pritam;KK;Sunidhi Chauhan,Khatta Meetha,0.693,0.638,11,-6.715,1.0,0.0498,0.354,3.32e-06,0.0972,0.747,90.005,4.0,456.0,indian
green tulips,127894,False,13,when in NY,green tulips,0.74,0.118,2,-13.836,1.0,0.128,0.917,0.845,0.0861,0.249,86.019,4.0,182.0,study
Além do Rio Azul,241560,False,49,Voz da Verdade,Além do Rio Azul / Coração de Cera (Série Dupla),0.337,0.445,0,-6.577,1.0,0.0289,0.645,0.0,0.0839,0.32,81.2,4.0,319.0,brazil
Do It All for You,174560,False,54,Alan Walker;Trevor Guthrie,Different World,0.684,0.657,1,-5.483,1.0,0.0433,0.126,1.26e-06,0.109,0.415,82.007,4.0,234.0,chicago-house
Ocean Drive - Extended Mix,279931,False,57,Duke Dumont,Ocean Drive (Extended Mix),0.672,0.685,8,-5.595,0.0,0.0384,0.00751,0.000124,0.172,0.368,115.009,4.0,530.0,techno
Raining In Virginia,180320,False,27,Breaking Grass,Just As Strong,0.525,0.625,9,-7.013,1.0,0.0283,0.596,0.0,0.138,0.718,145.088,4.0,429.0,bluegrass
算命,216731,False,27,蔡秋鳳,算命,0.343,0.4,7,-10.736,1.0,0.0459,0.812,0.0,0.227,0.313,77.098,3.0,273.0,mandopop
You Are What I Am,144000,False,21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.635,0.642,4,-10.383,1.0,0.0353,0.612,0.0351,0.187,0.972,125.829,4.0,293.0,bluegrass
O Re Piya (MTV Unplugged),268142,False,36,Salim–Sulaiman;Rahat Fateh Ali Khan;Jaideep Sahni,O Re Piya (MTV Unplugged),0.407,0.518,10,-10.62,0.0,0.0437,0.717,0.0,0.248,0.509,109.764,4.0,484.0,indian
Worth It (feat. Kid Ink),224573,False,76,Fifth Harmony;Kid Ink,Reflection (Deluxe),0.884,0.765,8,-3.865,1.0,0.0882,0.063,7.04e-06,0.118,0.594,99.987,4.0,371.0,breakbeat
Unchain My Soul,320435,False,43,Dark Funeral,Where Shadows Forever Reign,0.421,0.999,4,-5.51,1.0,0.106,2.91e-05,0.167,0.0877,0.0271,114.076,4.0,597.0,black-metal
Rewind - Makoto Remix,354480,False,15,London Elektricity,Future Sound Of Tokyo,0.46,0.976,6,-4.171,1.0,0.0529,0.000488,0.876,0.07,0.278,174.993,4.0,1024.0,idm
Once Upon the Cross,214773,False,45,Deicide,Once Upon The Cross,0.205,0.95,10,-8.498,0.0,0.132,1.93e-05,0.805,0.212,0.314,184.43,4.0,644.0,black-metal
Arlington,294160,False,41,The Wailin' Jennys,40 Days,0.654,0.295,10,-13.429,1.0,0.0293,0.768,0.000399,0.112,0.379,116.015,4.0,556.0,bluegrass
Malikhoolia (Acoustic),154019,False,0,Electroqute,Fravak,0.51,0.412,0,-8.447,0.0,0.0364,0.629,0.0,0.193,0.247,78.972,4.0,185.0,iranian
Guns Or Butter,212826,False,2,Hot Buttered Rum,Well-Oiled Machine,0.81,0.422,2,-9.278,0.0,0.0593,0.815,1.53e-05,0.0872,0.802,120.072,4.0,418.0,bluegrass
Baba Hya - Remastered,329365,False,18,Lafayette Afro Rock Band,Malik,0.436,0.915,7,-5.147,0.0,0.151,0.405,0.88,0.0748,0.776,88.39,4.0,478.0,afrobeat
Inevitável,210520,False,44,Desejo De Menina,Cumplicidade,0.508,0.68,6,-6.107,1.0,0.0525,0.3,0.0,0.244,0.535,79.521,4.0,272.0,forro
"Die Schöne und das Biest (Single-Duett) - aus ""Die Schöne und das Biest""/Deutscher Film-Soundtrack",245533,False,27,Jana Werner;Peter Hofmann,Die Schöne und das Biest (Deutscher Original Film-Soundtrack),0.436,0.234,7,-15.609,1.0,0.0275,0.349,6.73e-05,0.346,0.175,77.532,4.0,313.0,disney
Adult Themes,274285,False,18,Power Glove,Playback,0.652,0.873,9,-5.529,0.0,0.107,0.0513,0.346,0.144,0.3,112.008,4.0,511.0,techno
Gyal You A Party Animal,214866,False,19,Charly Black,Gyal You A Party Animal,0.588,0.841,0,-5.138,1.0,0.0932,0.026,0.0,0.33,0.871,134.577,5.0,449.0,j-dance
如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲,259588,False,55,Eric Chou,如果能幸福 (HBO Asia原創影集《戒指流浪記》片尾曲),0.48,0.358,0,-9.565,1.0,0.0282,0.622,2.12e-05,0.107,0.142,149.945,4.0,633.0,mandopop
Are You Down,333865,False,20,Hard Creation,Oldschool Hardcore Volume II,0.623,0.994,10,-5.133,1.0,0.0605,0.00322,0.785,0.143,0.14,162.981,4.0,902.0,happy
The Lunatics Have Taken Over the Asylum,334866,False,23,Collide,Vortex,0.686,0.765,1,-6.524,1.0,0.0374,0.131,0.000224,0.103,0.856,115.157,4.0,637.0,industrial
Show U Love - DJ Deep Edit,347117,False,8,Jovonn;DJ Deep,Goldtone Edits,0.846,0.515,6,-11.483,0.0,0.124,0.214,0.856,0.103,0.497,120.901,4.0,698.0,chicago-house
Súbete al tren de la alegría,123652,False,36,Duo Tiempo de Sol,20 Grandes Éxitos,0.692,0.876,9,-1.963,1.0,0.0467,0.181,0.0,0.223,0.983,127.651,4.0,263.0,spanish
Summon the Beast,268653,True,19,Toxic Holocaust,Evil Never Dies,0.363,0.976,4,-6.076,1.0,0.0901,2.06e-05,0.165,0.18,0.469,159.96,4.0,710.0,black-metal
La Petite Mort,94003,False,33,Sharif,Bajo el Rayo Que No Cesa,0.537,0.631,1,-8.705,1.0,0.0861,0.06,0.123,0.108,0.273,84.609,4.0,129.0,spanish
metaclocks,120000,False,1,hope mona,after bloom,0.547,0.282,10,-10.151,1.0,0.0306,0.947,0.866,0.099,0.0788,80.008,4.0,158.0,study
Zerstören,328933,False,54,Rammstein,Rosenrot,0.412,0.775,9,-5.457,1.0,0.0417,7.88e-05,0.137,0.32,0.123,165.921,4.0,907.0,industrial
Sou do Interior,119536,False,40,Gleydson Gavião;Os Barões Da Pisadinha,"Voando Feito Um Gavião, Pt. 5",0.682,0.859,7,-2.344,1.0,0.0694,0.601,0.0,0.0688,0.972,165.882,4.0,325.0,forro
Bluegrass Concerto,269293,False,21,The Osborne Brothers,100 Greatest Bluegrass Hits,0.263,0.718,9,-11.109,1.0,0.0296,0.303,0.437,0.336,0.935,145.549,4.0,636.0,bluegrass
Can't Stop the Hardcore,214545,False,18,Scooter,The Fifth Chapter (SPY Version),0.483,0.837,7,-4.336,1.0,0.0606,0.0018,1.36e-06,0.441,0.229,149.318,4.0,508.0,happy
A Desolation Song (2016 - Remaster),308522,False,15,Agalloch,The Mantle,0.246,0.666,9,-9.228,0.0,0.0487,0.375,0.204,0.223,0.319,61.256,4.0,438.0,black-metal
Chuva de Honestidade,230353,False,43,Flavio Leandro,Cercadim,0.748,0.598,2,-4.923,1.0,0.03,0.695,0.0,0.0826,0.838,124.96,4.0,470.0,forro
BazeFaze - SPLT SCND INTERLUDE RMX 12,70500,False,14,DJ Ruffneck;SPLT SCND,BazeFaze (SPLT SCND RMXS),0.54,0.906,11,-5.905,1.0,0.0497,0.0132,0.85,0.399,0.403,150.029,4.0,174.0,happy
Chaandaniya,247862,False,55,Mohan Kannan;Yashita Sharma,2 States,0.567,0.546,4,-8.316,1.0,0.0405,0.301,1.69e-06,0.129,0.401,113.806,4.0,463.0,indian
Popatrz na niebo,249537,False,18,Kuba Jurzyk,Popatrz na niebo,0.356,0.32,5,-11.793,1.0,0.0407,0.731,0.0,0.111,0.356,173.92,3.0,626.0,disney
The Scare Floor,161333,False,23,Randy Newman,"Monsters, Inc. (Original Motion Picture Soundtrack/Japan Release Version)",0.584,0.355,2,-9.782,1.0,0.0281,0.495,0.375,0.106,0.399,99.861,4.0,263.0,disney
How Do You Know?,238746,False,21,The Infamous Stringdusters,Toward the Fray,0.559,0.844,4,-6.456,1.0,0.0353,0.39,0.0321,0.171,0.571,100.71,4.0,392.0,bluegrass
Through It All,159000,False,24,DJ Zinc;Maverick Sabre,Through It All,0.474,0.865,7,-3.926,0.0,0.0483,0.000659,1.78e-06,0.198,0.344,87.074,4.0,224.0,j-dance
To Do - Kaskade's Carry On Mix,369653,False,9,Mark Farina;Kaskade,To Do,0.839,0.707,0,-8.153,1.0,0.0674,0.00346,0.739,0.478,0.753,126.003,4.0,763.0,chicago-house
Perfect World,336986,False,6,Joe Smooth,Promised Land,0.806,0.838,1,-6.7,0.0,0.0477,0.00376,0.867,0.05,0.89,122.6,4.0,681.0,chicago-house
Enkèn Yèlélèbesh,238440,False,49,Girma Bèyènè;Akalé Wubé,Mistakes on Purpose (Ethiopiques 30),0.74,0.492,5,-8.72,0.0,0.0366,0.589,0.000796,0.119,0.893,128.648,4.0,502.0,afrobeat
Waiting On My Angel,243173,False,22,Jamie Principle,Frankie Knuckles Presents: His Greatest Hits from Trax Records,0.708,0.91,5,-3.349,1.0,0.047,0.176,0.0431,0.0727,0.697,124.982,4.0,496.0,chicago-house
Ekla Ghor,387318,False,48,Fossils,Fossils,0.666,0.527,9,-10.85,1.0,0.0307,0.238,3.06e-05,0.327,0.283,138.038,4.0,877.0,indian
Te Bi-Campeón,238570,False,23,Jah Fabio;Brandon Lomas,Te Bi-Campeón,0.458,0.782,7,-8.781,1.0,0.0658,0.081,0.0,0.174,0.908,96.01,4.0,479.0,spanish
如果你也聽說,313146,False,55,A-Mei Chang,Star,0.445,0.469,10,-8.391,1.0,0.0366,0.585,0.0,0.104,0.123,116.792,4.0,598.0,mandopop
GDFR,190185,False,0,Flo Rida;Sage The Gemini;Lookas,Pushin P - Top Rap,0.657,0.827,5,-4.034,1.0,0.0736,0.000698,0.0053,0.065,0.69,145.887,4.0,454.0,breakbeat
Far From Any Road,274285,False,0,Comaduster,FiXT Presents: Sinister Sounds,0.544,0.49,2,-10.438,1.0,0.0395,0.0125,0.541,0.109,0.172,87.505,4.0,388.0,idm
ぴらぴろ,237840,False,31,BiSH,Brand-new idol SHiT,0.434,0.995,6,-2.049,1.0,0.141,0.00169,0.00218,0.335,0.317,166.986,4.0,652.0,j-idol
Alta Estação,200646,False,55,Aviões do Forró,"Aviões do Forró, Vol. 3",0.609,0.904,7,-6.029,1.0,0.0515,0.566,0.0,0.499,0.915,165.96,4.0,551.0,forro
Llamando a la tierra - Serenade From the Stars,244533,False,62,M-Clan,Usar Y Tirar,0.521,0.882,9,-6.51,0.0,0.0797,0.0918,6.5e-05,0.204,0.401,116.902,4.0,474.0,spanish
The Repair Man,300440,False,32,Tucka,Long Live the King,0.931,0.39,8,-6.134,1.0,0.0594,0.159,0.0,0.0812,0.806,96.006,4.0,476.0,bluegrass
Inside You,211800,False,22,Godhead,2000 Years Of Human Error,0.555,0.796,4,-6.102,1.0,0.0781,0.00016,0.0325,0.12,0.355,119.678,4.0,417.0,industrial
Inner Acid,329980,False,9,Mr. Fingers,Cerebral Hemispheres,0.692,0.917,6,-11.526,0.0,0.0432,0.0697,0.889,0.108,0.141,120.003,4.0,659.0,chicago-house
Garoto de Aluguel (Taxi Boy),312360,False,46,Zé Ramalho,Antologia Acústica,0.663,0.649,6,-10.186,0.0,0.0295,0.393,0.0295,0.137,0.513,89.866,4.0,465.0,brazil
The Motto - Robin Schulz Remix,157426,False,59,Tiësto;Ava Max;Robin Schulz,The Motto (Robin Schulz Remix),0.551,0.889,7,-6.109,0.0,0.0415,0.00323,0.651,0.447,0.157,126.007,4.0,320.0,chicago-house
Chori 95,251453,False,17,Morbo y Mambo,Boa,0.472,0.821,7,-6.471,0.0,0.0415,0.000143,0.792,0.121,0.519,95.93,4.0,397.0,afrobeat
Wee Willie Winkie - Original Mix,49906,False,16,Cameron's Bedtime Classics,Lullabies and Nursery Rhymes,0.715,0.13,0,-17.072,1.0,0.114,0.917,0.893,0.0993,0.345,53.862,3.0,40.0,disney
Kommallo,258471,False,29,Sanah Moidutty;Yazin Nizar,High Way,0.813,0.524,4,-9.146,1.0,0.0472,0.301,0.000335,0.26,0.787,124.034,4.0,528.0,indian
Clang,327333,False,18,Propellerheads,Decksandrumsandrockandroll 20th anniversary,0.785,0.746,6,-8.16,1.0,0.0808,0.00173,0.928,0.227,0.2,107.924,4.0,580.0,breakbeat
Ashes of Yesterday,192413,False,26,The Steeldrivers,The Muscle Shoals Recordings,0.45,0.497,0,-7.366,1.0,0.0269,0.457,0.0,0.295,0.725,147.707,3.0,458.0,bluegrass
Drinkin’ Alone,160346,False,40,The Steeldrivers,The Muscle Shoals Recordings,0.476,0.684,2,-7.764,1.0,0.0594,0.299,1.34e-05,0.271,0.503,188.156,3.0,498.0,bluegrass
Batom de Ouro (Versão Grave),140933,False,22,Os Barões Da Pisadinha,Paredão Explode,0.715,0.607,6,-7.759,1.0,0.0626,0.0232,0.0,0.168,0.409,171.993,4.0,396.0,forro
Five Little Monkeys - Jumping On the Bed,99909,False,44,Zouzounia,The Wheels on the Bus & More Nursery Rhymes,0.934,0.537,5,-7.178,1.0,0.0429,0.524,0.0123,0.0835,0.947,132.056,4.0,209.0,disney
Take Me 2 Wonderland - Radio mix,212480,False,24,4 Tune Fairytales,Happy Rave Classics,0.514,0.943,0,-7.325,1.0,0.0384,0.143,0.341,0.181,0.467,178.085,4.0,619.0,happy
Need U (100%) (feat. A*M*E) - Radio Edit,174121,False,62,Duke Dumont;A*M*E,Need U (100%) (feat. A*M*E) [Remixes],0.67,0.848,0,-5.103,0.0,0.0538,0.00172,0.00168,0.385,0.457,124.031,4.0,352.0,techno
My Paradise,211029,False,61,Jamie Jones,My Paradise,0.749,0.74,10,-8.528,1.0,0.0313,0.0005,0.154,0.112,0.887,128.012,4.0,447.0,techno
Walk To Work,209520,False,26,Randy Newman,"Monsters, Inc. (Original Motion Picture Soundtrack/Japan Release Version)",0.388,0.26,8,-13.487,1.0,0.0316,0.74,0.208,0.0864,0.152,104.477,4.0,353.0,disney
Colors Song for Children,156363,False,0,ChuChu TV,"ChuChuTV Nursery Rhymes & Songs for Children, Vol. 1",0.888,0.864,4,-4.988,0.0,0.0433,0.00155,0.0417,0.219,0.849,126.043,4.0,324.0,disney
Lights (feat. DJ Trashy),403565,False,18,Tony Faline,"The Funk, Vol. 4",0.771,0.455,0,-6.997,1.0,0.0602,0.000443,0.217,0.0513,0.0497,134.964,4.0,896.0,breakbeat
Morgenstern,239866,False,55,Rammstein,"Reise, Reise",0.514,0.945,8,-4.833,1.0,0.105,0.00234,0.000158,0.0638,0.409,104.971,4.0,412.0,industrial
Diciembre,225413,False,23,La Oreja de Van Gogh,Diciembre,0.597,0.832,7,-4.762,1.0,0.0296,0.127,1.11e-06,0.199,0.501,144.926,4.0,518.0,spanish
愛與痛的邊緣,273773,False,55,Faye Wong,討好自己,0.62,0.411,5,-11.425,1.0,0.0288,0.514,1.83e-06,0.199,0.534,113.29,4.0,509.0,mandopop
Adeus Nunca Mais,246413,False,40,Edson Lima e Gatinha Manhosa,Edson Lima & Gatinha Manhosa - As 20 +,0.626,0.675,4,-7.629,1.0,0.0379,0.506,0.0,0.217,0.539,100.031,4.0,407.0,forro
